q,30Ｃ,60 C,80 C,100C
0.11515,0.016187,0.016161,0.013658,0.014864
0.11557,0.015315,0.017038,0.014545,0.01557
0.11599,0.016162,0.017926,0.014415,0.012729
0.11641,0.016666,0.018552,0.013773,0.014859
0.11683,0.016206,0.015443,0.013048,0.014575
0.11725,0.015387,0.015958,0.014176,0.013602
0.11767,0.015567,0.016983,0.012324,0.013635
0.11809,0.015054,0.016381,0.014117,0.012079
0.1185,0.014085,0.015017,0.011524,0.013175
0.11892,0.016335,0.016706,0.011981,0.013039
0.11934,0.014599,0.015133,0.012578,0.013074
0.11976,0.015147,0.015626,0.012427,0.012923
0.12018,0.015844,0.015219,0.012522,0.013258
0.1206,0.014143,0.016169,0.013093,0.013051
0.12102,0.014064,0.014671,0.012295,0.011505
0.12143,0.01471,0.015944,0.011854,0.01272
0.12185,0.014422,0.014738,0.012495,0.012495
0.12227,0.013466,0.0138,0.011875,0.011526
0.12269,0.015876,0.015908,0.011319,0.01302
0.12311,0.013367,0.013471,0.01229,0.01203
0.12353,0.014166,0.013057,0.010399,0.010077
0.12395,0.013382,0.013574,0.011188,0.010977
0.12437,0.012945,0.013511,0.010335,0.010533
0.12478,0.013603,0.014224,0.012395,0.012972
0.1252,0.011292,0.013536,0.011848,0.0097545
0.12562,0.013414,0.012641,0.011126,0.012381
0.12604,0.013061,0.013623,0.012156,0.013552
0.12646,0.01156,0.011917,0.0098172,0.010006
0.12688,0.011264,0.012577,0.010037,0.011608
0.1273,0.011428,0.012533,0.011218,0.010986
0.12771,0.012685,0.012771,0.0096145,0.010844
0.12813,0.010739,0.012859,0.01086,0.010802
0.12855,0.011158,0.012363,0.010508,0.01201
0.12897,0.011788,0.011771,0.010277,0.011608
0.12939,0.011592,0.012566,0.010826,0.011177
0.12981,0.011288,0.012024,0.0099044,0.011308
0.13023,0.012577,0.010801,0.011124,0.010827
0.13065,0.011009,0.011577,0.01147,0.011327
0.13106,0.010199,0.009914,0.011254,0.0095795
0.13148,0.011616,0.011432,0.010369,0.0098667
0.1319,0.011815,0.011299,0.0091693,0.010747
0.13232,0.010434,0.010535,0.0080888,0.011295
0.13274,0.011629,0.012959,0.010224,0.011302
0.13316,0.012201,0.010655,0.0098489,0.010391
0.13358,0.011723,0.011067,0.0090156,0.011413
0.13399,0.009354,0.0094592,0.010668,0.010075
0.13441,0.010779,0.010485,0.0096794,0.0099462
0.13483,0.009144,0.011336,0.0089277,0.009375
0.13525,0.008816,0.010264,0.0097166,0.010408
0.13567,0.010087,0.0081396,0.010874,0.011587
0.13609,0.010362,0.0095653,0.0084168,0.010053
0.13651,0.008783,0.011045,0.0090956,0.011834
0.13692,0.009776,0.010088,0.011003,0.010779
0.13734,0.010488,0.010084,0.0089887,0.010577
0.13776,0.010193,0.0095869,0.0089918,0.011376
0.13818,0.008931,0.010545,0.0089277,0.010758
0.1386,0.007583,0.0093125,0.0090164,0.0091076
0.13902,0.00843,0.0094877,0.0095756,0.01117
0.13944,0.009339,0.0081603,0.0087336,0.0099144
0.13986,0.00982,0.010656,0.0076856,0.0098189
0.14027,0.009506,0.0091606,0.0078187,0.011073
0.14069,0.008612,0.009851,0.0072198,0.011213
0.14111,0.009382,0.0095274,0.0098141,0.011373
0.14153,0.009095,0.009763,0.0090584,0.011
0.14195,0.00811,0.0075276,0.0074852,0.010943
0.14237,0.00903,0.0090087,0.0077989,0.011158
0.14279,0.009431,0.0086669,0.0087756,0.010371
0.1432,0.010157,0.0077434,0.0089847,0.010508
0.14362,0.008704,0.0090251,0.0087304,0.0071576
0.14404,0.007374,0.0077106,0.0077886,0.010102
0.14446,0.007748,0.0073697,0.0092984,0.0086159
0.14488,0.007041,0.0092952,0.0097586,0.010511
0.1453,0.007524,0.0091416,0.0084682,0.0071795
0.14572,0.008068,0.0081905,0.0078282,0.0074833
0.14613,0.009734,0.0075432,0.008328,0.0080591
0.14655,0.00906,0.008704,0.0083233,0.0098121
0.14697,0.008284,0.0091459,0.0082773,0.0097902
0.14739,0.00883,0.0084157,0.0089023,0.009478
0.14781,0.007548,0.007752,0.008652,0.0093318
0.14823,0.00708,0.0095438,0.0079581,0.0091773
0.14865,0.006953,0.0084218,0.0096065,0.009597
0.14906,0.007988,0.0073041,0.0089871,0.0068129
0.14948,0.007717,0.0084123,0.0075026,0.009128
0.1499,0.007084,0.0082828,0.0073672,0.0084712
0.15032,0.00627,0.007897,0.0077791,0.0090758
0.15074,0.007744,0.0081249,0.0087954,0.0091197
0.15116,0.008583,0.0080895,0.010073,0.011424
0.15158,0.007848,0.0083363,0.0077426,0.0071833
0.15199,0.008056,0.010573,0.0080674,0.0086318
0.15241,0.008202,0.0075872,0.0072428,0.0089652
0.15283,0.008564,0.0078142,0.0083819,0.007903
0.15325,0.007682,0.0085322,0.0080516,0.0092667
0.15367,0.006451,0.0066326,0.0060198,0.0086371
0.15409,0.009284,0.0076226,0.0087708,0.0076977
0.15451,0.007152,0.0078452,0.0078337,0.0090667
0.15492,0.008386,0.0080731,0.0084278,0.0076273
0.15534,0.0068,0.007891,0.0073822,0.0073492
0.15576,0.007191,0.0083303,0.0069854,0.007197
0.15618,0.00873,0.009044,0.0078662,0.010176
0.1566,0.007757,0.0068518,0.0062495,0.0083879
0.15702,0.007176,0.0072135,0.0082829,0.0089038
0.15744,0.007417,0.0062373,0.0080207,0.0074205
0.15785,0.006773,0.0062244,0.0072713,0.0086742
0.15827,0.007301,0.0075656,0.0063588,0.0088371
0.15869,0.007945,0.0068795,0.0073703,0.0088242
0.15911,0.008164,0.0070124,0.0082449,0.0076712
0.15953,0.008176,0.0063944,0.0064919,0.007622
0.15995,0.00764,0.0062727,0.0070361,0.0081886
0.16037,0.006131,0.0080878,0.0071636,0.0077121
0.16078,0.006908,0.0081758,0.0086282,0.0066106
0.1612,0.007786,0.005313,0.0069355,0.0061053
0.16162,0.007073,0.0070314,0.0071763,0.008747
0.16204,0.009053,0.0068924,0.006556,0.0079508
0.16246,0.006283,0.0064643,0.0057686,0.0079099
0.16288,0.008009,0.0073783,0.0070242,0.0093765
0.1633,0.006589,0.0069571,0.0069814,0.0085765
