Q,I_obs,err,I_fit,I_fit_over_I_obs
7.588539658703885582e-02,1.585598889899533792e-01,1.574497791190115382e-03,1.545415635535237475e-01,9.746573647217662284e-01
7.891670992906019144e-02,1.507938147790103545e-01,1.463612038144805659e-03,1.461179985832000983e-01,9.689919894747492934e-01
8.197715529228655207e-02,1.441360521495901326e-01,1.336930554556202671e-03,1.390219031423554907e-01,9.645185993999130236e-01
8.508976933886307215e-02,1.348454920389133560e-01,1.509971565230228217e-03,1.331566606896025518e-01,9.874758041683481258e-01
8.784890981392069753e-02,1.304660747348705130e-01,1.407252470820560602e-03,1.288830392467401054e-01,9.878663055407513882e-01
9.000361925701749755e-02,1.261352147803714019e-01,2.573269456884089579e-03,1.260024207874985980e-01,9.989472092063740316e-01
9.388637713796940676e-02,1.199682964523253181e-01,1.104443461571874780e-03,1.214915135240511312e-01,1.012696830052355779e+00
9.612972625647848990e-02,1.195601424447150229e-01,3.168274532312732525e-03,1.191265001307608151e-01,9.963730194269823093e-01
1.006199045739266107e-01,1.151064087769050892e-01,1.286722685366943879e-03,1.146549347257374563e-01,9.960777679021968201e-01
1.046591747308867476e-01,1.102212867800986540e-01,1.712979110896324566e-03,1.107631444963084327e-01,1.004916089550749181e+00
1.086973725861200141e-01,1.074320732494066788e-01,1.086731053541166144e-03,1.069563242548823845e-01,9.955716297737284837e-01
1.134447459187657437e-01,1.023280041615694524e-01,1.385667789450765325e-03,1.026191235353122178e-01,1.002844962883113755e+00
1.173110143632663666e-01,9.957443577752855823e-02,1.339784091474863171e-03,9.924827117762964612e-02,9.967244142801106044e-01
1.219069958677685694e-01,9.471461662289068495e-02,1.241146126634830055e-03,9.546706307030645988e-02,1.007944354042118684e+00
1.257718244152171150e-01,9.142335548951940893e-02,1.517806793355877754e-03,9.248742990105428274e-02,1.011638977872091560e+00
1.298218015330372122e-01,8.790559351082577466e-02,1.068202011424809099e-03,8.955704169359664235e-02,1.018786610917626012e+00
1.346654973489948004e-01,8.338672808962946381e-02,1.225610485145449012e-03,8.629405194279822500e-02,1.034865546589665675e+00
1.388294635021068979e-01,8.306801877947131429e-02,1.119474581107277175e-03,8.368120799738791582e-02,1.007381772515178131e+00
1.433722078266791711e-01,8.051564864751797890e-02,1.068841902590354732e-03,8.101458084297712137e-02,1.006196710873477285e+00
1.488793485872868805e-01,7.672870455433847270e-02,9.704037205220671395e-04,7.801127929358578350e-02,1.016715709546992308e+00
1.540677305202894642e-01,7.618765588268658351e-02,1.062693086454986587e-03,7.538537026490130244e-02,9.894696114680225918e-01
1.587191720666215888e-01,7.187296166121592833e-02,9.534138049700353586e-04,7.318120692578944375e-02,1.018202189451161477e+00
1.645206263346651598e-01,7.041001425245041467e-02,8.551545481911844004e-04,7.060846152681966859e-02,1.002818452410160432e+00
1.706614019695936457e-01,6.724256705009862278e-02,8.494697185741439211e-04,6.807670826646584905e-02,1.012404957944954109e+00
1.764236542046940248e-01,6.596600264314866902e-02,8.774011398268146073e-04,6.585824189357393499e-02,9.983664198942343582e-01
