Q,I_obs,err,I_fit,I_fit_over_I_obs
3.440000000000000002e-02,1.123668601861846084e-01,5.290000000000000431e-03,1.098117625431066779e-01,9.772611102700182739e-01
3.520000000000000212e-02,1.136568601861846217e-01,5.219999999999999814e-03,1.078662453653773806e-01,9.490517790890803385e-01
3.599999999999999728e-02,9.698686018618463134e-02,5.239999999999999866e-03,1.055681069244523429e-01,1.088478446686431456e+00
3.679999999999999938e-02,1.042368601861846100e-01,5.069999999999999854e-03,1.029949454367310863e-01,9.880856469848069423e-01
3.760000000000000148e-02,1.034968601861846194e-01,5.060000000000000261e-03,1.002197234264789044e-01,9.683358823271513982e-01
3.839999999999999664e-02,9.956686018618463030e-02,5.080000000000000314e-03,9.728395111724577604e-02,9.770715972697147089e-01
3.919999999999999873e-02,9.969686018618462153e-02,4.839999999999999684e-03,9.428413218706978294e-02,9.457081397648178234e-01
4.000000000000000083e-02,9.007686018618463186e-02,4.899999999999999842e-03,9.128951214132695335e-02,1.013462413683556829e+00
4.080000000000000293e-02,9.405686018618461541e-02,4.789999999999999987e-03,8.832597599607409922e-02,9.390700032005503406e-01
4.159999999999999809e-02,9.003686018618461961e-02,4.839999999999999684e-03,8.546526756172960482e-02,9.492253215516228693e-01
4.240000000000000019e-02,9.401686018618463092e-02,4.590000000000000330e-03,8.274082946603802946e-02,8.800637385909685362e-01
4.320000000000000229e-02,8.174686018618462779e-02,4.570000000000000277e-03,8.017958612962033937e-02,9.808277155477934661e-01
4.399999999999999745e-02,8.098686018618461713e-02,4.579999999999999870e-03,7.780563613069173268e-02,9.607192568253737353e-01
4.479999999999999954e-02,8.084686018618461589e-02,4.449999999999999963e-03,7.562690903804075715e-02,9.354340893867407747e-01
4.560000000000000164e-02,7.949686018618461192e-02,4.510000000000000120e-03,7.365316716457655233e-02,9.264915242196747336e-01
4.639999999999999680e-02,8.269686018618460643e-02,4.389999999999999805e-03,7.187124291830120082e-02,8.690927655111633232e-01
4.719999999999999890e-02,8.466686018618460596e-02,4.340000000000000108e-03,7.028234229355273532e-02,8.301045077023059271e-01
4.800000000000000100e-02,7.730686018618461441e-02,4.270000000000000358e-03,6.885657877111842073e-02,8.906917006496619660e-01
4.880000000000000310e-02,6.472686018618462045e-02,4.400000000000000265e-03,6.759642276554016227e-02,1.044333412297481223e+00
4.959999999999999826e-02,6.547686018618462112e-02,4.179999999999999688e-03,6.645428988566104422e-02,1.014927864541718794e+00
5.040000000000000036e-02,6.964686018618461427e-02,4.259999999999999898e-03,6.544396846330950701e-02,9.396542541668115867e-01
5.120000000000000245e-02,6.371686018618462344e-02,4.199999999999999740e-03,6.451136637637396032e-02,1.012469324255271585e+00
5.199999999999999761e-02,6.174686018618462391e-02,4.159999999999999636e-03,6.367097581969415054e-02,1.031161351811375804e+00
5.279999999999999971e-02,6.533686018618461988e-02,4.060000000000000241e-03,6.287552035911241066e-02,9.623284648197304447e-01
5.360000000000000181e-02,5.995686018618462398e-02,4.029999999999999728e-03,6.213439350478626444e-02,1.036318334746678227e+00
5.439999999999999697e-02,6.659686018618461711e-02,4.009999999999999676e-03,6.141629107876504096e-02,9.222100097071201930e-01
5.519999999999999907e-02,5.762686018618461137e-02,3.980000000000000031e-03,6.072576476758309583e-02,1.053775350095187191e+00
5.600000000000000117e-02,6.035686018618462156e-02,3.980000000000000031e-03,6.004504965489695922e-02,9.948338841628637796e-01
5.680000000000000326e-02,6.166686018618461329e-02,3.860000000000000150e-03,5.937334716210026370e-02,9.628080136209339335e-01
5.759999999999999842e-02,5.388686018618461804e-02,3.939999999999999926e-03,5.870513950667931996e-02,1.089414734943677354e+00
5.840000000000000052e-02,5.314686018618461349e-02,3.810000000000000019e-03,5.803742594070442073e-02,1.092019843456172756e+00
5.920000000000000262e-02,4.868686018618462175e-02,3.870000000000000176e-03,5.737043277368061162e-02,1.178355567688877947e+00
5.999999999999999778e-02,5.985686018618462112e-02,3.769999999999999914e-03,5.670372556127791647e-02,9.473220844678640340e-01
6.079999999999999988e-02,5.897686018618461534e-02,3.789999999999999966e-03,5.603547930572581187e-02,9.501265263838540864e-01
6.160000000000000198e-02,5.282686018618461266e-02,3.739999999999999835e-03,5.537098839145802864e-02,1.048159746695276118e+00
6.239999999999999714e-02,4.930686018618461730e-02,3.789999999999999966e-03,5.470708068928999829e-02,1.109522700953050833e+00
6.320000000000000617e-02,4.805686018618461619e-02,3.640000000000000006e-03,5.404880585550036337e-02,1.124684501777715173e+00
6.400000000000000133e-02,4.854686018618462051e-02,3.690000000000000138e-03,5.339629391049103418e-02,1.099891809804137699e+00
6.479999999999999649e-02,5.069686018618461965e-02,3.650000000000000033e-03,5.275023203667927874e-02,1.040502939293550533e+00
6.560000000000000553e-02,4.934686018618461567e-02,3.579999999999999849e-03,5.211382901691219427e-02,1.056071831526623317e+00
6.640000000000000069e-02,4.617686018618462340e-02,3.599999999999999901e-03,5.148607029719885070e-02,1.114975554630772692e+00
6.719999999999999585e-02,4.617686018618462340e-02,3.500000000000000073e-03,5.086929545392888247e-02,1.101618759890222288e+00
6.800000000000000488e-02,4.462686018618461370e-02,3.609999999999999928e-03,5.026422606240071173e-02,1.126322260914096152e+00
6.880000000000000004e-02,4.668686018618461997e-02,3.599999999999999901e-03,4.967063774515076413e-02,1.063910435335916782e+00
6.959999999999999520e-02,5.127686018618461683e-02,3.559999999999999797e-03,4.908922388759104360e-02,9.573367735339032292e-01
7.040000000000000424e-02,4.069686018618462464e-02,3.589999999999999875e-03,4.852048803384073627e-02,1.192241558976876670e+00
7.119999999999999940e-02,4.456686018618462308e-02,3.700000000000000164e-03,4.796393909897551933e-02,1.076224326744112059e+00
7.199999999999999456e-02,4.402686018618462427e-02,3.619999999999999954e-03,4.741953856155679131e-02,1.077059285196012350e+00
7.280000000000000360e-02,4.092686018618461874e-02,3.670000000000000085e-03,4.688814310692027837e-02,1.145656981591467671e+00
7.359999999999999876e-02,4.045686018618462054e-02,3.650000000000000033e-03,4.636835431487093540e-02,1.146118460539975237e+00
7.439999999999999392e-02,4.029686018618461318e-02,3.589999999999999875e-03,4.585999192071379960e-02,1.138053726985817526e+00
7.520000000000000295e-02,4.270686018618462254e-02,3.599999999999999901e-03,4.536423028304503030e-02,1.062223494896963771e+00
7.599999999999999811e-02,4.476686018618461493e-02,3.640000000000000006e-03,4.487899341619913662e-02,1.002504826774720526e+00
7.679999999999999327e-02,3.977686018618462049e-02,3.609999999999999928e-03,4.440415137882113700e-02,1.116331233058050154e+00
7.760000000000000231e-02,3.806686018618461731e-02,3.629999999999999980e-03,4.394069081111769831e-02,1.154302997310632906e+00
7.839999999999999747e-02,4.080686018618462363e-02,3.670000000000000085e-03,4.348676949449318402e-02,1.065673009295036611e+00
7.920000000000000651e-02,4.772686018618461923e-02,3.710000000000000190e-03,4.304236296798721190e-02,9.018477813138561228e-01
8.000000000000000167e-02,4.417686018618462163e-02,3.860000000000000150e-03,4.260855274945767046e-02,9.644993458087044447e-01
8.079999999999999682e-02,3.328686018618462472e-02,3.930000000000000333e-03,4.218342273850807234e-02,1.267269502216850086e+00
8.160000000000000586e-02,4.044686018618462442e-02,3.959999999999999978e-03,4.176677760523809374e-02,1.032633371613461248e+00
8.240000000000000102e-02,4.669686018618461609e-02,4.000000000000000083e-03,4.135984157986961202e-02,8.857092621423404699e-01
8.319999999999999618e-02,3.632686018618461188e-02,4.150000000000000043e-03,4.096068207686335422e-02,1.127559108244676311e+00
8.400000000000000522e-02,3.959686018618462089e-02,4.069999999999999833e-03,4.056926068448690054e-02,1.024557515260807294e+00
8.480000000000000038e-02,3.621686018618461289e-02,4.259999999999999898e-03,4.018633136691522612e-02,1.109602852382129523e+00
8.559999999999999554e-02,3.703686018618461417e-02,4.250000000000000305e-03,3.981083393122412245e-02,1.074897648750318346e+00
8.640000000000000457e-02,3.093686018618461986e-02,4.380000000000000213e-03,3.944209447016600034e-02,1.274922349352683781e+00
8.719999999999999973e-02,3.828686018618461528e-02,4.470000000000000015e-03,3.908070570290765600e-02,1.020734150381166216e+00
8.799999999999999489e-02,3.742686018618461563e-02,4.689999999999999725e-03,3.872674907563495444e-02,1.034731443754134839e+00
8.880000000000000393e-02,2.944686018618461465e-02,4.910000000000000302e-03,3.837874235385047017e-02,1.303322055770698595e+00
8.959999999999999909e-02,3.947686018618461190e-02,5.069999999999999854e-03,3.803701662289308422e-02,9.635268976179768297e-01
9.039999999999999425e-02,2.917686018618462218e-02,5.100000000000000366e-03,3.770238386171077816e-02,1.292201546743642737e+00
9.120000000000000329e-02,3.489686018618461116e-02,5.360000000000000181e-03,3.737332448850746308e-02,1.070965246990996267e+00
9.199999999999999845e-02,3.898686018618462146e-02,5.320000000000000076e-03,3.704971843421808742e-02,9.503129581937204140e-01
9.279999999999999361e-02,2.543686018618461497e-02,5.760000000000000363e-03,3.673183588194671445e-02,1.444039697238131525e+00
9.360000000000000264e-02,3.243686018618462119e-02,5.610000000000000403e-03,3.641980912778735452e-02,1.122790828666553109e+00
9.439999999999999780e-02,3.405686018618461763e-02,6.020000000000000177e-03,3.611259570976562555e-02,1.060361862847677639e+00
9.518999999999999684e-02,3.191686018618461462e-02,5.989999999999999665e-03,3.581404343862213541e-02,1.122104217949497329e+00
9.599000000000000588e-02,3.028686018618462206e-02,6.250000000000000347e-03,3.551725325636471975e-02,1.172695123826864805e+00
9.679000000000000103e-02,3.670686018618461721e-02,6.349999999999999742e-03,3.522520408679973014e-02,9.596354443864273387e-01
9.758999999999999619e-02,4.134686018618462244e-02,6.570000000000000319e-03,3.493735415552747664e-02,8.449820372866237994e-01
9.839000000000000523e-02,3.276686018618461815e-02,7.069999999999999896e-03,3.465411331752211305e-02,1.057596398330933551e+00
9.919000000000000039e-02,3.242686018618461119e-02,7.190000000000000210e-03,3.437585623779701449e-02,1.060104371512440524e+00
9.998999999999999555e-02,3.603686018618461329e-02,7.150000000000000105e-03,3.410168084705997305e-02,9.463000014672053872e-01
1.007900000000000046e-01,3.143686018618462030e-02,8.200000000000000691e-03,3.383142076098074463e-02,1.076170475060624909e+00
1.015899999999999997e-01,3.957686018618461476e-02,7.870000000000000259e-03,3.356540230809846453e-02,8.481067510205214655e-01
1.023899999999999949e-01,2.716686018618462428e-02,8.699999999999999400e-03,3.330396774895251488e-02,1.225904190646545322e+00
