Q,I,err,count
7.175629999999999509e-02,1.162789999999999935e-01,3.488369999999999752e-03,1.000000000000000000e+00
7.438469999999999804e-02,1.109119999999999967e-01,3.327359999999999693e-03,1.000000000000000000e+00
7.701310000000000100e-02,1.055460000000000009e-01,3.166379999999999889e-03,1.000000000000000000e+00
7.937869999999999648e-02,1.019680000000000031e-01,3.059039999999999850e-03,1.000000000000000000e+00
8.489839999999999887e-02,9.481199999999999350e-02,3.000000000000000062e-03,1.000000000000000000e+00
8.726399999999999435e-02,9.123399999999999566e-02,3.000000000000000062e-03,1.000000000000000000e+00
9.488649999999999862e-02,7.334499999999999353e-02,3.000000000000000062e-03,1.000000000000000000e+00
9.751490000000000158e-02,7.245100000000000151e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.001433999999999935e-01,6.976699999999999569e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.080287000000000053e-01,6.976699999999999569e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.106570999999999944e-01,6.618999999999999884e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.127598999999999962e-01,6.976699999999999569e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.156511000000000067e-01,6.529500000000000581e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.182795999999999986e-01,6.618999999999999884e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.209080000000000016e-01,5.724499999999999728e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.235364000000000045e-01,5.366699999999999943e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.261648999999999965e-01,5.635099999999999831e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.287932999999999995e-01,5.008900000000000158e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.311588999999999949e-01,5.635099999999999831e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.337872999999999979e-01,5.545599999999999835e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.364158000000000037e-01,4.293399999999999994e-02,3.000000000000000062e-03,1.000000000000000000e+00
