Q,I_obs,err,I_fit,I_fit_over_I_obs
7.891670992906019144e-02,1.507938147790103545e-01,1.463612038144805659e-03,1.443939094604960449e-01,9.575585687788757960e-01
8.197715529228655207e-02,1.441360521495901326e-01,1.336930554556202671e-03,1.374567491949670039e-01,9.536597342926315113e-01
8.508976933886307215e-02,1.348454920389133560e-01,1.509971565230228217e-03,1.318072747472528727e-01,9.774688998073163271e-01
8.784890981392069753e-02,1.304660747348705130e-01,1.407252470820560602e-03,1.277894869580309400e-01,9.794844155288732201e-01
9.000361925701749755e-02,1.261352147803714019e-01,2.573269456884089579e-03,1.250366703624195552e-01,9.912907397044936619e-01
9.388637713796940676e-02,1.199682964523253181e-01,1.104443461571874780e-03,1.206495147390037048e-01,1.005678319246194441e+00
9.612972625647848990e-02,1.195601424447150229e-01,3.168274532312732525e-03,1.183250100341157462e-01,9.896693631728449292e-01
1.006199045739266107e-01,1.151064087769050892e-01,1.286722685366943879e-03,1.139500757538506326e-01,9.899542255262639978e-01
1.046591747308867476e-01,1.102212867800986540e-01,1.712979110896324566e-03,1.101184148473851876e-01,9.990666781733485990e-01
1.086973725861200141e-01,1.074320732494066788e-01,1.086731053541166144e-03,1.063492031342299221e-01,9.899204205743769025e-01
1.134447459187657437e-01,1.023280041615694524e-01,1.385667789450765325e-03,1.020236946097832775e-01,9.970261361561817415e-01
1.173110143632663666e-01,9.957443577752855823e-02,1.339784091474863171e-03,9.865104912133566828e-02,9.907266694610659119e-01
1.219069958677685694e-01,9.471461662289068495e-02,1.241146126634830055e-03,9.487039777506099669e-02,1.001644742466630600e+00
1.257718244152171150e-01,9.142335548951940893e-02,1.517806793355877754e-03,9.190540113951534140e-02,1.005272675099430080e+00
1.298218015330372122e-01,8.790559351082577466e-02,1.068202011424809099e-03,8.899119308496049319e-02,1.012349607468391977e+00
1.346654973489948004e-01,8.338672808962946381e-02,1.225610485145449012e-03,8.575874997424841328e-02,1.028446036185390877e+00
1.388294635021068979e-01,8.306801877947131429e-02,1.119474581107277175e-03,8.317152495651505828e-02,1.001246041239030049e+00
1.433722078266791711e-01,8.051564864751797890e-02,1.068841902590354732e-03,8.054599473577302160e-02,1.000376896774288982e+00
1.488793485872868805e-01,7.672870455433847270e-02,9.704037205220671395e-04,7.756949719330823168e-02,1.010957993411374822e+00
1.540677305202894642e-01,7.618765588268658351e-02,1.062693086454986587e-03,7.495810514382975076e-02,9.838615491628973642e-01
1.587191720666215888e-01,7.187296166121592833e-02,9.534138049700353586e-04,7.275448501729826767e-02,1.012265020610080501e+00
1.645206263346651598e-01,7.041001425245041467e-02,8.551545481911844004e-04,7.018189938230355585e-02,9.967601928139232514e-01
1.706614019695936457e-01,6.724256705009862278e-02,8.494697185741439211e-04,6.765272355356687084e-02,1.006099655641681023e+00
