Q,I_obs,err,I_fit,I_fit_over_I_obs
7.790000000000000049e-03,3.727868601861845654e-01,4.065199999999999925e-01,1.231804128886952177e-01,3.304312089411467479e-01
7.929999999999999549e-03,7.463686018618462259e-02,4.052899999999999836e-01,1.193801181590994909e-01,1.599479370666196720e+00
8.009999999999999759e-03,2.246368601861846448e-01,3.185999999999999943e-02,1.173263412703622888e-01,5.222933634894971755e-01
8.810000000000000123e-03,1.516468601861846177e-01,2.401000000000000009e-02,1.013532824433742985e-01,6.683506820974577378e-01
9.610000000000000486e-03,1.216568601861846288e-01,1.813999999999999987e-02,9.144050616230299522e-02,7.516263860694885057e-01
1.041000000000000085e-02,8.802686018618460784e-02,1.490000000000000005e-02,8.340860140541964118e-02,9.475358001978380074e-01
1.120999999999999948e-02,7.538686018618462326e-02,1.323000000000000044e-02,8.096817158159670680e-02,1.074035599594250101e+00
1.200999999999999984e-02,6.045686018618462443e-02,1.128999999999999969e-02,7.792404898782168132e-02,1.288919880189685951e+00
1.281000000000000021e-02,6.939686018618461405e-02,1.050000000000000065e-02,7.671064189192200455e-02,1.105390671654528312e+00
1.361000000000000057e-02,7.490686018618461506e-02,9.339999999999999344e-03,7.654702986075979931e-02,1.021896121002782154e+00
1.440999999999999920e-02,6.478686018618462494e-02,9.010000000000000647e-03,7.680417483509302534e-02,1.185489999274127682e+00
1.520999999999999956e-02,7.363686018618462170e-02,8.279999999999999166e-03,7.737061761752263289e-02,1.050705005915481882e+00
1.600999999999999993e-02,6.168686018618461941e-02,8.070000000000000784e-03,7.753287317392942857e-02,1.256878254784212112e+00
1.680999999999999855e-02,5.778686018618461873e-02,7.779999999999999589e-03,7.824824931244185600e-02,1.354083766799792921e+00
1.761000000000000065e-02,6.752686018618461739e-02,7.729999999999999892e-03,7.926139974766940877e-02,1.173775880133185456e+00
1.840999999999999928e-02,6.442686018618461186e-02,7.400000000000000328e-03,8.041883859234505438e-02,1.248219117926061550e+00
1.921000000000000138e-02,7.469686018618461321e-02,7.320000000000000118e-03,8.199775520023938613e-02,1.097740319952632992e+00
2.001000000000000001e-02,6.633686018618462077e-02,7.170000000000000158e-03,8.405280013196933520e-02,1.267060272314098013e+00
