Q,I_obs,err,I_fit,I_fit_over_I_obs
3.814171764191158151e-03,1.691621373965309871e+01,1.187881938353048117e+00,2.161197450110688933e+01,1.277589349113419592e+00
3.963039937061135082e-03,1.683465715120524564e+01,9.111082583490817122e-01,1.896986250031048726e+01,1.126833907570988114e+00
4.137725771273845221e-03,1.459983416169157877e+01,9.228022424429034309e-01,1.635553786786933372e+01,1.120255044456911486e+00
4.310886989258130159e-03,1.278075432946003964e+01,7.744832613285903555e-01,1.418782075773165552e+01,1.110092596414930188e+00
4.521645323762290766e-03,1.151321238436739236e+01,7.679232628914657299e-01,1.200380839928720711e+01,1.042611566480432961e+00
4.725105215184107789e-03,9.350821029609519996e+00,6.739715736553242298e-01,1.027747077108717377e+01,1.099098222342551834e+00
4.924092364723929582e-03,8.193249043982145707e+00,6.533562321619239555e-01,8.880920432472525050e+00,1.083931464160175384e+00
5.137909105876913539e-03,7.725611352519281105e+00,6.036960742718496808e-01,7.633974089378014583e+00,9.881385098266192157e-01
5.371798409526735985e-03,6.207028596014146693e+00,5.464600866679391045e-01,6.509637371990683263e+00,1.048752598976401940e+00
5.605435345323486578e-03,5.754267381839172302e+00,5.455052053308668825e-01,5.589493033140108480e+00,9.713648432085200124e-01
5.821345538048161052e-03,5.026928875757953108e+00,5.204430066392498055e-01,4.886400135533112810e+00,9.720448123102494176e-01
6.081332575715576831e-03,4.456079470350633009e+00,4.367991972517863974e-01,4.178582903345593458e+00,9.377262975556392988e-01
6.357818523235810905e-03,4.084454691523804470e+00,4.472569430002829027e-01,3.563970774757140969e+00,8.725695457347614203e-01
6.629891907601249967e-03,3.618355940239510016e+00,4.159865891633675594e-01,3.071359959247971894e+00,8.488274813131483354e-01
6.913458624917227270e-03,2.726066257054593045e+00,3.969993583455612152e-01,2.649483535941610235e+00,9.719072414638493251e-01
7.204083671415976650e-03,2.892640962804855054e+00,3.844928738239621890e-01,2.294410047029971977e+00,7.931886730958800369e-01
7.520270362837404125e-03,2.200834432489206627e+00,3.397578100993452477e-01,1.978653405969303058e+00,8.990469145520363359e-01
7.856477454476984423e-03,2.140631706397892575e+00,3.398613362611958011e-01,1.705508580066101176e+00,7.967314391208440982e-01
8.149090595851888122e-03,1.818706296242512233e+00,8.841097530348096534e-02,1.507101933906980884e+00,8.286670239283203676e-01
8.565122008883541138e-03,1.630997341494367925e+00,3.030314666068369411e-01,1.281476403181553092e+00,7.857010986954929832e-01
8.816672640498360303e-03,1.560794791518900215e+00,6.457146339209184072e-02,1.166576815444522186e+00,7.474248516099021300e-01
8.971842088051969200e-03,1.408936271615098157e+00,4.195865107745783140e-02,1.105239787978392396e+00,7.844498081601866124e-01
9.423528171805155632e-03,1.077690443439641266e+00,5.355977312189113410e-02,9.493845873194618479e-01,8.809436820181234529e-01
9.745037173786439896e-03,1.054814438601705540e+00,2.653680058070945202e-01,8.582001218418205957e-01,8.136029337818669882e-01
1.017091098263514688e-02,9.272691236231497269e-01,2.492005411483030064e-01,7.581932136292712787e-01,8.176625257042502426e-01
1.047263942487483730e-02,8.930119445109392373e-01,2.299192962170167401e-02,6.977509726492283626e-01,7.813456213414411433e-01
1.107351889487671708e-02,6.849637669245948191e-01,2.625503929303660972e-02,6.024122691762355819e-01,8.794804897213679418e-01
1.158433771814053152e-02,6.262391944495468987e-01,3.095251158349238141e-02,5.384755857555472147e-01,8.598560909763204307e-01
1.198312253681269555e-02,5.632389737377051508e-01,2.463925535359378152e-02,4.973023170322093955e-01,8.829330714315912765e-01
1.248356688265144822e-02,5.175969942684712777e-01,2.005088497081804547e-02,4.544015496267420073e-01,8.779060826443854104e-01
1.302519010043231597e-02,4.582393750660503917e-01,2.909169051418880950e-02,4.166505253204008663e-01,9.092420861047679770e-01
1.333230184424476911e-02,4.353687360395138706e-01,1.412848103621246534e-02,3.979779471147267822e-01,9.141169637835604433e-01
1.381946162277382893e-02,4.320353813335011117e-01,3.269439501278940952e-02,3.733699182129083249e-01,8.642114381013921154e-01
